0.000,0.000
0.021,0.001
0.042,0.002
0.063,0.003
0.083,0.008
0.104,0.013
0.125,0.021
0.146,0.034
0.167,0.049
0.188,0.070
0.208,0.091
0.229,0.113
0.250,0.136
0.271,0.183
0.292,0.236
0.313,0.303
0.333,0.386
0.354,0.490
0.375,0.593
0.396,0.666
0.417,0.736
0.438,0.772
0.458,0.809
0.479,0.833
0.500,0.853
0.521,0.876
0.542,0.898
0.563,0.913
0.583,0.927
0.604,0.933
0.625,0.940
0.646,0.944
0.667,0.949
0.688,0.953
0.708,0.958
0.729,0.963
0.750,0.967
0.771,0.972
0.792,0.976
0.813,0.979
0.833,0.983
0.854,0.985
0.875,0.988
0.896,0.990
0.917,0.993
0.938,0.995
0.958,0.998
0.979,0.999
1.000,1.000
