0.000,0.000
0.010,0.002
0.021,0.005
0.031,0.008
0.042,0.011
0.052,0.014
0.063,0.017
0.073,0.020
0.083,0.023
0.094,0.026
0.104,0.029
0.115,0.032
0.125,0.035
0.135,0.038
0.146,0.041
0.156,0.044
0.167,0.047
0.177,0.051
0.188,0.055
0.198,0.059
0.208,0.063
0.219,0.067
0.229,0.071
0.240,0.075
0.250,0.079
0.260,0.084
0.271,0.089
0.281,0.094
0.292,0.099
0.302,0.104
0.313,0.109
0.323,0.114
0.333,0.120
0.344,0.126
0.354,0.133
0.365,0.140
0.375,0.147
0.385,0.154
0.396,0.162
0.406,0.171
0.417,0.181
0.427,0.192
0.438,0.204
0.448,0.217
0.458,0.233
0.469,0.252
0.479,0.277
0.490,0.318
0.500,0.638
0.510,0.698
0.521,0.729
0.531,0.752
0.542,0.770
0.552,0.785
0.563,0.798
0.573,0.809
0.583,0.819
0.594,0.829
0.604,0.838
0.615,0.846
0.625,0.854
0.635,0.861
0.646,0.868
0.656,0.874
0.667,0.880
0.677,0.886
0.688,0.892
0.698,0.897
0.708,0.902
0.719,0.907
0.729,0.912
0.740,0.917
0.750,0.921
0.760,0.925
0.771,0.929
0.781,0.933
0.792,0.937
0.802,0.941
0.813,0.945
0.823,0.949
0.833,0.953
0.844,0.957
0.854,0.960
0.865,0.963
0.875,0.966
0.885,0.969
0.896,0.972
0.906,0.975
0.917,0.978
0.927,0.981
0.938,0.984
0.948,0.987
0.958,0.990
0.969,0.993
0.979,0.996
0.990,0.998
1.000,1.000
