0.000,0.000
0.021,0.010
0.042,0.022
0.063,0.036
0.083,0.051
0.104,0.067
0.125,0.083
0.146,0.099
0.167,0.116
0.188,0.135
0.208,0.156
0.229,0.179
0.250,0.204
0.271,0.233
0.292,0.268
0.313,0.310
0.333,0.425
0.354,0.480
0.375,0.520
0.396,0.550
0.417,0.577
0.438,0.601
0.458,0.623
0.479,0.644
0.500,0.664
0.521,0.683
0.542,0.701
0.563,0.719
0.583,0.736
0.604,0.753
0.625,0.769
0.646,0.785
0.667,0.800
0.688,0.815
0.708,0.830
0.729,0.844
0.750,0.858
0.771,0.871
0.792,0.884
0.813,0.896
0.833,0.908
0.854,0.920
0.875,0.932
0.896,0.944
0.917,0.956
0.938,0.967
0.958,0.978
0.979,0.989
1.000,1.000
