0.0,0.000
0.1,0.122
0.2,0.296
0.3,0.469
0.4,0.622
0.5,0.748
0.6,0.847
0.7,0.918
0.8,0.966
0.9,0.992
1.0,1.000
1.1,0.993
1.2,0.974
1.3,0.945
1.4,0.909
1.5,0.868
1.6,0.823
1.7,0.775
1.8,0.727
1.9,0.678
2.0,0.631
2.1,0.584
2.2,0.539
2.3,0.496
2.4,0.455
2.5,0.416
2.6,0.380
2.7,0.346
2.8,0.314
2.9,0.285
3.0,0.258
3.1,0.233
3.2,0.211
3.3,0.190
3.4,0.171
3.5,0.153
3.6,0.138
3.7,0.124
3.8,0.111
3.9,0.099
4.0,0.089
4.1,0.079
4.2,0.071
4.3,0.063
4.4,0.056
4.5,0.050
4.6,0.044
4.7,0.039
4.8,0.035
4.9,0.031
5.0,0.028
5.1,0.024
5.2,0.022
5.3,0.019
5.4,0.017
5.5,0.015
5.6,0.013
5.7,0.012
5.8,0.010
5.9,0.009
6.0,0.008
6.1,0.007
6.2,0.006
6.3,0.006
