0.000,0.000
0.100,0.050
0.200,0.120
0.300,0.210
0.400,0.320
0.500,0.450
0.600,0.620
0.700,0.790
0.800,0.950
0.900,0.990
1.000,1.000
1.100,0.992
1.200,0.956
1.300,0.898
1.400,0.828
1.500,0.760
1.600,0.698
1.700,0.643
1.800,0.589
1.900,0.541
2.000,0.495
2.100,0.456
2.200,0.422
2.300,0.393
2.400,0.366
2.500,0.342
2.600,0.321
2.700,0.300
2.800,0.280
3.000,0.266
3.200,0.222
3.400,0.198
3.600,0.177
3.800,0.158
4.000,0.141
4.200,0.126
4.400,0.112
4.800,0.088
5.200,0.066
6.000,0.037
6.400,0.027
6.800,0.017
7.200,0.009
7.600,0.004
8.000,0.000
